Temperature (C)	Pressure (bar)	"Density (l, kg/m3)"	"Volume (l, m3/kg)"	"Internal Energy (l, kJ/kg)"	"Enthalpy (l, kJ/kg)"	"Entropy (l, J/g*K)"	"Cv (l, J/g*K)"	"Cp (l, J/g*K)"	"Sound Spd. (l, m/s)"	"Joule-Thomson (l, K/bar)"	"Viscosity (l, uPa*s)"	"Therm. Cond. (l, W/m*K)"	"Surf. Tension (l, N/m)"	"Density (v, kg/m3)"	"Volume (v, m3/kg)"	"Internal Energy (v, kJ/kg)"	"Enthalpy (v, kJ/kg)"	"Entropy (v, J/g*K)"	"Cv (v, J/g*K)"	"Cp (v, J/g*K)"	"Sound Spd. (v, m/s)"	"Joule-Thomson (v, K/bar)"	"Viscosity (v, uPa*s)"	"Therm. Cond. (v, W/m*K)"
-63.265	3.7239	1153.4	0.00086704	43.499	43.822	0.22122	0.93088	1.758	973.43	-0.020309	204.96	0.17328	0.018103	10.056	0.099447	350.77	387.81	1.8601	0.65867	0.92487	219.55	2.9653	10.615	0.010805
-62.773	3.8064	1151.8	0.00086823	44.36	44.69	0.22532	0.93048	1.7593	970.31	-0.020149	203.52	0.1727	0.017996	10.266	0.097413	350.96	388.04	1.8574	0.6602	0.92773	219.63	2.9452	10.644	0.010846
-62.289	3.889	1150.2	0.0008694	45.207	45.546	0.22935	0.93009	1.7605	967.23	-0.019989	202.12	0.17212	0.01789	10.475	0.095461	351.14	388.26	1.8547	0.6617	0.93057	219.71	2.9255	10.673	0.010886
-61.812	3.9715	1148.7	0.00087056	46.042	46.388	0.2333	0.92971	1.7618	964.2	-0.01983	200.75	0.17155	0.017786	10.685	0.093587	351.31	388.48	1.852	0.66319	0.93338	219.78	2.9064	10.701	0.010926
-61.343	4.054	1147.2	0.00087171	46.864	47.217	0.23719	0.92934	1.763	961.22	-0.019672	199.42	0.17099	0.017684	10.895	0.091787	351.49	388.7	1.8494	0.66465	0.93616	219.86	2.8877	10.729	0.010965
-60.881	4.1366	1145.7	0.00087284	47.674	48.035	0.24101	0.92898	1.7643	958.29	-0.019515	198.13	0.17045	0.017583	11.104	0.090055	351.66	388.91	1.8469	0.66609	0.93893	219.92	2.8695	10.756	0.011004
-60.426	4.2191	1144.2	0.00087396	48.472	48.841	0.24477	0.92863	1.7655	955.4	-0.019358	196.86	0.16991	0.017484	11.314	0.088389	351.82	389.11	1.8444	0.66752	0.94167	219.99	2.8517	10.783	0.011042
-59.978	4.3017	1142.8	0.00087507	49.259	49.635	0.24847	0.92829	1.7668	952.55	-0.019201	195.62	0.16937	0.017387	11.523	0.086784	351.98	389.31	1.8419	0.66892	0.94439	220.06	2.8344	10.81	0.01108
-59.536	4.3842	1141.3	0.00087617	50.035	50.419	0.25211	0.92796	1.768	949.74	-0.019045	194.42	0.16885	0.017291	11.732	0.085237	352.14	389.51	1.8395	0.67031	0.94709	220.12	2.8175	10.836	0.011117
-59.1	4.4668	1139.9	0.00087726	50.8	51.192	0.25569	0.92763	1.7693	946.97	-0.01889	193.24	0.16833	0.017196	11.941	0.083745	352.3	389.7	1.8372	0.67168	0.94976	220.18	2.8009	10.862	0.011155
-58.671	4.5493	1138.5	0.00087834	51.555	51.955	0.25922	0.92731	1.7706	944.24	-0.018735	192.09	0.16783	0.017103	12.15	0.082305	352.45	389.89	1.8348	0.67303	0.95242	220.23	2.7847	10.888	0.011191
-58.247	4.6318	1137.1	0.00087941	52.301	52.708	0.26269	0.927	1.7718	941.55	-0.018581	190.97	0.16732	0.017011	12.359	0.080914	352.6	390.08	1.8326	0.67437	0.95506	220.29	2.7689	10.913	0.011228
-57.829	4.7144	1135.8	0.00088047	53.037	53.452	0.26611	0.9267	1.7731	938.9	-0.018427	189.87	0.16683	0.016921	12.567	0.07957	352.75	390.26	1.8303	0.67569	0.95768	220.34	2.7534	10.939	0.011264
-57.417	4.7969	1134.4	0.00088152	53.763	54.186	0.26949	0.9264	1.7743	936.28	-0.018274	188.79	0.16634	0.016832	12.776	0.078271	352.89	390.44	1.8281	0.67699	0.96029	220.39	2.7383	10.963	0.011299
-57.009	4.8795	1133.1	0.00088256	54.481	54.912	0.27281	0.92611	1.7756	933.69	-0.018121	187.74	0.16586	0.016744	12.985	0.077013	353.04	390.61	1.826	0.67828	0.96287	220.44	2.7234	10.988	0.011335
-56.607	4.962	1131.7	0.00088359	55.19	55.628	0.27609	0.92582	1.7768	931.14	-0.017968	186.71	0.16539	0.016657	13.193	0.075796	353.18	390.79	1.8239	0.67956	0.96544	220.49	2.7089	11.012	0.011369
-56.21	5.0445	1130.4	0.00088461	55.89	56.337	0.27933	0.92554	1.7781	928.61	-0.017816	185.69	0.16492	0.016572	13.402	0.074617	353.31	390.95	1.8218	0.68082	0.96799	220.53	2.6947	11.036	0.011404
-55.818	5.1271	1129.1	0.00088563	56.583	57.037	0.28252	0.92527	1.7793	926.12	-0.017664	184.7	0.16446	0.016487	13.61	0.073475	353.45	391.12	1.8197	0.68206	0.97053	220.57	2.6808	11.06	0.011439
-55.431	5.2096	1127.9	0.00088663	57.267	57.729	0.28567	0.92501	1.7806	923.66	-0.017513	183.73	0.164	0.016404	13.818	0.072367	353.58	391.28	1.8177	0.6833	0.97305	220.61	2.6671	11.084	0.011473
-55.048	5.2922	1126.6	0.00088763	57.944	58.413	0.28877	0.92474	1.7818	921.23	-0.017362	182.78	0.16355	0.016321	14.027	0.071293	353.71	391.44	1.8157	0.68452	0.97556	220.65	2.6537	11.107	0.011506
-54.67	5.3747	1125.3	0.00088862	58.613	59.09	0.29184	0.92449	1.7831	918.82	-0.017211	181.85	0.1631	0.01624	14.235	0.07025	353.84	391.6	1.8137	0.68573	0.97805	220.69	2.6406	11.13	0.01154
-54.296	5.4572	1124.1	0.0008896	59.275	59.76	0.29487	0.92424	1.7843	916.44	-0.017061	180.93	0.16266	0.01616	14.443	0.069237	353.97	391.75	1.8118	0.68692	0.98053	220.72	2.6277	11.153	0.011573
-53.926	5.5398	1122.9	0.00089058	59.929	60.423	0.29786	0.92399	1.7856	914.09	-0.016911	180.04	0.16223	0.01608	14.651	0.068254	354.09	391.9	1.8099	0.6881	0.983	220.76	2.615	11.175	0.011606
-53.56	5.6223	1121.6	0.00089155	60.577	61.078	0.30082	0.92375	1.7868	911.77	-0.016761	179.15	0.1618	0.016002	14.859	0.067298	354.21	392.05	1.808	0.68927	0.98545	220.79	2.6026	11.198	0.011639
-53.198	5.7049	1120.4	0.00089251	61.218	61.727	0.30374	0.92351	1.7881	909.47	-0.016612	178.29	0.16137	0.015925	15.067	0.066368	354.33	392.19	1.8062	0.69043	0.98789	220.82	2.5905	11.22	0.011671
-52.841	5.7874	1119.2	0.00089347	61.853	62.37	0.30662	0.92328	1.7893	907.19	-0.016463	177.44	0.16095	0.015848	15.275	0.065464	354.45	392.34	1.8044	0.69158	0.99032	220.85	2.5785	11.242	0.011704
-52.487	5.87	1118.1	0.00089441	62.481	63.006	0.30947	0.92305	1.7906	904.94	-0.016314	176.6	0.16054	0.015772	15.484	0.064585	354.57	392.48	1.8026	0.69272	0.99274	220.88	2.5668	11.264	0.011736
-52.136	5.9525	1116.9	0.00089536	63.103	63.636	0.31229	0.92283	1.7918	902.72	-0.016165	175.78	0.16013	0.015697	15.692	0.063729	354.68	392.62	1.8008	0.69384	0.99514	220.9	2.5552	11.285	0.011768
-51.79	6.035	1115.7	0.00089629	63.718	64.259	0.31508	0.92261	1.7931	900.51	-0.016017	174.97	0.15972	0.015624	15.9	0.062895	354.79	392.75	1.799	0.69496	0.99754	220.93	2.5439	11.307	0.011799
-51.447	6.1176	1114.6	0.00089722	64.328	64.877	0.31783	0.9224	1.7943	898.33	-0.015869	174.18	0.15932	0.01555	16.107	0.062083	354.9	392.88	1.7973	0.69606	0.99992	220.95	2.5327	11.328	0.01183
-51.107	6.2001	1113.4	0.00089815	64.932	65.489	0.32056	0.92219	1.7956	896.17	-0.015721	173.4	0.15892	0.015478	16.315	0.061292	355.01	393.02	1.7956	0.69716	1.0023	220.97	2.5218	11.349	0.011862
-50.771	6.2827	1112.3	0.00089906	65.531	66.095	0.32325	0.92198	1.7968	894.03	-0.015574	172.63	0.15853	0.015406	16.523	0.06052	355.12	393.14	1.7939	0.69824	1.0047	221	2.511	11.37	0.011893
-50.438	6.3652	1111.1	0.00089998	66.123	66.696	0.32592	0.92177	1.7981	891.91	-0.015426	171.87	0.15814	0.015335	16.731	0.059768	355.23	393.27	1.7923	0.69932	1.007	221.02	2.5004	11.391	0.011923
-50.108	6.4478	1110	0.00090088	66.711	67.292	0.32856	0.92158	1.7994	889.81	-0.015279	171.13	0.15775	0.015265	16.939	0.059034	355.33	393.4	1.7906	0.70038	1.0093	221.03	2.49	11.411	0.011954
-49.781	6.5303	1108.9	0.00090179	67.293	67.882	0.33117	0.92138	1.8006	887.73	-0.015132	170.4	0.15737	0.015196	17.147	0.058319	355.44	393.52	1.789	0.70144	1.0117	221.05	2.4797	11.432	0.011984
-49.458	6.6128	1107.8	0.00090268	67.87	68.467	0.33375	0.92119	1.8019	885.67	-0.014985	169.68	0.15699	0.015127	17.355	0.05762	355.54	393.64	1.7874	0.70249	1.014	221.07	2.4696	11.452	0.012014
-49.137	6.6954	1106.7	0.00090357	68.442	69.047	0.33631	0.921	1.8031	883.63	-0.014838	168.97	0.15662	0.015059	17.563	0.056938	355.64	393.76	1.7858	0.70352	1.0163	221.08	2.4597	11.472	0.012044
-48.82	6.7779	1105.6	0.00090446	69.009	69.622	0.33884	0.92081	1.8044	881.61	-0.014692	168.27	0.15625	0.014992	17.771	0.056271	355.74	393.88	1.7843	0.70455	1.0186	221.1	2.4499	11.492	0.012074
-48.505	6.8605	1104.6	0.00090534	69.571	70.192	0.34135	0.92063	1.8056	879.61	-0.014546	167.58	0.15588	0.014925	17.979	0.05562	355.83	393.99	1.7827	0.70558	1.0209	221.11	2.4403	11.512	0.012104
-48.193	6.943	1103.5	0.00090622	70.129	70.758	0.34383	0.92045	1.8069	877.62	-0.0144	166.9	0.15552	0.014859	18.187	0.054984	355.93	394.1	1.7812	0.70659	1.0232	221.12	2.4308	11.531	0.012133
-47.884	7.0255	1102.4	0.00090709	70.682	71.319	0.34629	0.92027	1.8081	875.65	-0.014254	166.23	0.15516	0.014794	18.395	0.054363	356.02	394.22	1.7797	0.70759	1.0255	221.14	2.4215	11.551	0.012163
-47.577	7.1081	1101.4	0.00090796	71.23	71.875	0.34873	0.9201	1.8094	873.7	-0.014108	165.57	0.1548	0.014729	18.603	0.053755	356.12	394.33	1.7782	0.70859	1.0278	221.15	2.4123	11.57	0.012192
-47.273	7.1906	1100.3	0.00090882	71.774	72.427	0.35114	0.91992	1.8106	871.76	-0.013962	164.92	0.15444	0.014665	18.811	0.05316	356.21	394.43	1.7767	0.70958	1.03	221.16	2.4033	11.589	0.012221
-46.972	7.2732	1099.3	0.00090968	72.313	72.975	0.35353	0.91976	1.8119	869.84	-0.013816	164.28	0.15409	0.014601	19.019	0.052579	356.3	394.54	1.7753	0.71056	1.0323	221.16	2.3943	11.608	0.01225
-46.673	7.3557	1098.3	0.00091054	72.849	73.519	0.3559	0.91959	1.8131	867.94	-0.013671	163.65	0.15375	0.014538	19.227	0.05201	356.39	394.65	1.7738	0.71153	1.0345	221.17	2.3856	11.627	0.012278
-46.377	7.4383	1097.2	0.00091139	73.38	74.058	0.35824	0.91943	1.8144	866.05	-0.013526	163.03	0.1534	0.014476	19.435	0.051453	356.48	394.75	1.7724	0.7125	1.0368	221.18	2.3769	11.646	0.012307
-46.083	7.5208	1096.2	0.00091223	73.907	74.593	0.36057	0.91927	1.8156	864.18	-0.01338	162.41	0.15306	0.014414	19.643	0.050908	356.56	394.85	1.771	0.71346	1.039	221.19	2.3683	11.665	0.012335
-45.792	7.6033	1095.2	0.00091308	74.43	75.124	0.36287	0.91911	1.8169	862.32	-0.013235	161.81	0.15272	0.014353	19.852	0.050374	356.65	394.95	1.7696	0.71441	1.0412	221.19	2.3599	11.683	0.012364
-45.503	7.6859	1094.2	0.00091391	74.949	75.652	0.36516	0.91895	1.8181	860.48	-0.01309	161.21	0.15238	0.014292	20.06	0.049851	356.73	395.05	1.7682	0.71536	1.0435	221.19	2.3516	11.702	0.012392
-45.216	7.7684	1093.2	0.00091475	75.465	76.175	0.36742	0.9188	1.8194	858.65	-0.012945	160.62	0.15205	0.014232	20.268	0.049339	356.82	395.15	1.7668	0.71629	1.0457	221.2	2.3434	11.72	0.01242
-44.932	7.851	1092.2	0.00091558	75.976	76.695	0.36967	0.91865	1.8207	856.83	-0.0128	160.03	0.15172	0.014172	20.476	0.048837	356.9	395.24	1.7655	0.71722	1.0479	221.2	2.3353	11.738	0.012448
-44.649	7.9335	1091.2	0.00091641	76.484	77.211	0.3719	0.9185	1.8219	855.03	-0.012656	159.46	0.15139	0.014113	20.685	0.048345	356.98	395.34	1.7641	0.71815	1.0501	221.2	2.3274	11.757	0.012475
-44.369	8.016	1090.2	0.00091723	76.988	77.723	0.3741	0.91836	1.8232	853.25	-0.012511	158.89	0.15107	0.014054	20.893	0.047863	357.06	395.43	1.7628	0.71907	1.0523	221.2	2.3195	11.775	0.012503
-44.091	8.0986	1089.3	0.00091805	77.489	78.232	0.37629	0.91821	1.8244	851.47	-0.012366	158.33	0.15075	0.013996	21.101	0.04739	357.14	395.52	1.7615	0.71998	1.0545	221.2	2.3117	11.792	0.01253
-43.815	8.1811	1088.3	0.00091887	77.986	78.738	0.37846	0.91807	1.8257	849.71	-0.012222	157.77	0.15043	0.013938	21.31	0.046927	357.22	395.61	1.7602	0.72088	1.0567	221.2	2.3041	11.81	0.012558
-43.542	8.2637	1087.3	0.00091968	78.48	79.24	0.38062	0.91793	1.8269	847.96	-0.012077	157.22	0.15011	0.013881	21.518	0.046472	357.3	395.7	1.7589	0.72178	1.0588	221.2	2.2965	11.828	0.012585
-43.27	8.3462	1086.4	0.00092049	78.97	79.738	0.38276	0.91779	1.8282	846.23	-0.011933	156.68	0.14979	0.013824	21.727	0.046026	357.37	395.79	1.7576	0.72268	1.061	221.2	2.2891	11.845	0.012612
-43	8.4287	1085.4	0.00092129	79.457	80.233	0.38488	0.91766	1.8295	844.5	-0.011788	156.15	0.14948	0.013768	21.936	0.045588	357.45	395.87	1.7563	0.72356	1.0632	221.2	2.2817	11.863	0.012639
-42.732	8.5113	1084.5	0.0009221	79.941	80.725	0.38698	0.91753	1.8307	842.79	-0.011644	155.62	0.14917	0.013712	22.144	0.045159	357.52	395.96	1.7551	0.72444	1.0654	221.2	2.2744	11.88	0.012666
-42.466	8.5938	1083.5	0.0009229	80.421	81.214	0.38907	0.91739	1.832	841.09	-0.0115	155.1	0.14886	0.013656	22.353	0.044737	357.6	396.04	1.7538	0.72532	1.0675	221.19	2.2672	11.898	0.012693
-42.202	8.6764	1082.6	0.00092369	80.898	81.7	0.39114	0.91727	1.8333	839.41	-0.011355	154.58	0.14856	0.013601	22.562	0.044323	357.67	396.12	1.7526	0.72619	1.0697	221.19	2.2602	11.915	0.01272
-41.94	8.7589	1081.7	0.00092449	81.373	82.182	0.39319	0.91714	1.8345	837.73	-0.011211	154.07	0.14826	0.013547	22.77	0.043917	357.74	396.21	1.7514	0.72705	1.0718	221.18	2.2532	11.932	0.012746
-41.68	8.8415	1080.8	0.00092528	81.844	82.662	0.39523	0.91701	1.8358	836.07	-0.011067	153.57	0.14795	0.013492	22.979	0.043517	357.81	396.29	1.7502	0.72791	1.074	221.18	2.2462	11.949	0.012773
-41.421	8.924	1079.8	0.00092607	82.312	83.138	0.39726	0.91689	1.837	834.41	-0.010923	153.07	0.14766	0.013439	23.188	0.043125	357.88	396.36	1.7489	0.72877	1.0761	221.17	2.2394	11.966	0.012799
-41.164	9.0065	1078.9	0.00092685	82.777	83.612	0.39927	0.91677	1.8383	832.77	-0.010778	152.57	0.14736	0.013385	23.397	0.04274	357.95	396.44	1.7478	0.72962	1.0783	221.17	2.2327	11.983	0.012825
-40.909	9.0891	1078	0.00092763	83.239	84.083	0.40126	0.91665	1.8396	831.14	-0.010634	152.09	0.14706	0.013332	23.606	0.042362	358.02	396.52	1.7466	0.73046	1.0804	221.16	2.226	11.999	0.012851
-40.656	9.1716	1077.1	0.00092841	83.699	84.55	0.40324	0.91653	1.8408	829.52	-0.01049	151.6	0.14677	0.01328	23.815	0.04199	358.08	396.59	1.7454	0.7313	1.0825	221.15	2.2194	12.016	0.012878
-40.404	9.2542	1076.2	0.00092919	84.156	85.016	0.40521	0.91641	1.8421	827.91	-0.010346	151.13	0.14648	0.013227	24.025	0.041624	358.15	396.67	1.7442	0.73213	1.0847	221.14	2.2129	12.033	0.012904
-40.154	9.3367	1075.3	0.00092996	84.61	85.478	0.40716	0.9163	1.8434	826.31	-0.010202	150.65	0.14619	0.013175	24.234	0.041264	358.22	396.74	1.7431	0.73296	1.0868	221.13	2.2064	12.049	0.012929
-39.906	9.4193	1074.4	0.00093073	85.061	85.937	0.4091	0.91618	1.8446	824.72	-0.010058	150.19	0.14591	0.013124	24.443	0.040911	358.28	396.81	1.7419	0.73378	1.0889	221.12	2.2001	12.065	0.012955
-39.659	9.5018	1073.5	0.0009315	85.509	86.394	0.41102	0.91607	1.8459	823.13	-0.0099135	149.72	0.14562	0.013073	24.653	0.040564	358.34	396.89	1.7408	0.7346	1.091	221.11	2.1938	12.082	0.012981
-39.414	9.5843	1072.7	0.00093227	85.955	86.849	0.41294	0.91596	1.8472	821.56	-0.0097693	149.27	0.14534	0.013022	24.862	0.040222	358.41	396.96	1.7397	0.73541	1.0932	221.1	2.1876	12.098	0.013007
-39.17	9.6669	1071.8	0.00093303	86.398	87.3	0.41483	0.91585	1.8485	820	-0.0096251	148.81	0.14506	0.012972	25.072	0.039886	358.47	397.03	1.7386	0.73622	1.0953	221.09	2.1814	12.114	0.013032
-38.928	9.7494	1070.9	0.00093379	86.839	87.75	0.41672	0.91575	1.8497	818.45	-0.0094809	148.37	0.14478	0.012922	25.281	0.039555	358.53	397.09	1.7375	0.73702	1.0974	221.08	2.1753	12.13	0.013058
-38.687	9.832	1070	0.00093455	87.277	88.196	0.41859	0.91564	1.851	816.91	-0.0093367	147.92	0.1445	0.012872	25.491	0.039229	358.59	397.16	1.7364	0.73782	1.0995	221.07	2.1693	12.146	0.013083
